start	end	text
682280	690300	but since the way this matrix is stored if I load it only get I can tell them okay load this element
690300	698640	and the next three ones in memory but the next three in memory are not the next K one so K plus
698640	704880	one K plus two but J plus one J plus two so you look wrote the wrong elements and also Chachapiti
704880	711400	is not capable of doing that if you want to do it correctly you actually can see well the loop above
711400	718080	it it's possible to change the step size to four then it works nicely then it's no problem and then
718080	724720	you can do it and this runs fast and gives the correct results but this I've done by hand then
724720	733600	I tried Chachapiti to give me results and I really had to give him very very specific commands which
733600	739440	are very specific to this problem and obviously we want a more general approach so that we can
739440	745800	not only use this example which we already have and now we are looking maybe at this example another
745800	752080	example this is maybe also a question this is connecting to the last question from Thomas that
752080	758280	like we really need to figure out what are the obstacles and how can we in a general form tell
758280	765040	Chachapiti to tackle these obstacles and yeah it's actually I understand why Chachapiti took so long
765040	770640	it also took me quite a while to understand the obstacle what's what's going on here yeah I could
770640	778800	it worked when I told him I can change the step size only for the rest matrix only in the J loop
778920	784280	and then even gave me a wrong result because he actually moved this command outside of K which
784280	789440	couldn't even compile afterwards because K is not known outside the loop I had to tell him move it in
789440	796080	the loop and then I got the correct result which is like way too specific but I think if we now look at
796080	803360	another example maybe the transpose example we might get a feeling what are in general approach
803360	812440	to tackle these obstacles. Let me stop the recording
